comuna,-99.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,999.0
14106,8,9,204,862,786,394,1649,787,1363,1063,1227,296
14107,14,2,158,691,574,349,1314,826,981,805,1100,344
14108,11,6,390,1447,1003,536,2615,1132,2604,1048,2046,315
14201,22,63,480,2073,1449,757,2731,1613,2181,1778,2293,419
14202,4,2,146,569,387,229,1083,592,1101,492,882,160
14203,11,1,96,346,239,137,593,469,645,217,516,113
14204,8,10,376,1380,1065,573,2285,1992,1811,1325,2306,257
15101,362,1398,2868,14990,10095,6261,22402,5458,12552,10046,13860,4245
15102,0,0,18,34,18,13,57,139,48,34,69,15
15201,5,17,21,62,53,46,106,139,78,105,89,46
15202,0,0,0,8,4,3,24,114,17,21,25,6
16101,157,161,3559,16935,8119,4753,16503,1462,9389,5816,9752,2457
16102,19,11,226,928,710,386,1660,698,1263,1089,1579,207
16103,32,11,296,1735,1271,874,2928,359,1965,1405,1960,388
16104,2,4,83,427,307,178,700,531,613,489,883,93
16105,4,0,29,283,244,109,493,297,433,385,659,85
16106,4,0,116,483,295,173,921,364,851,367,924,69
16107,6,9,163,589,489,272,1292,568,1098,706,1246,238
16108,10,9,108,491,386,221,959,695,853,589,1503,204
16109,13,11,152,709,512,283,1214,255,1202,825,1285,337
16201,6,4,99,593,307,220,853,362,504,538,870,82
16202,1,0,74,304,158,99,435,348,302,118,436,92
16203,1,5,155,715,482,258,1099,372,772,881,974,201
16204,0,2,45,174,140,81,283,127,259,182,428,35
16205,0,0,42,155,132,76,302,204,246,178,536,28
16206,3,2,42,234,195,98,377,179,319,302,416,105
16207,0,2,49,257,187,122,352,223,375,303,504,78
16301,22,22,515,2555,1775,943,3806,1209,3109,1851,4203,658
16302,11,11,285,1017,750,318,1455,1340,1242,1018,2674,226
16303,8,2,70,253,229,131,613,509,616,362,1076,118
16304,1,5,59,269,136,76,434,215,362,128,281,83
16305,5,7,121,542,466,227,979,392,803,586,1123,172
